2024-11-05 18:10:54 INFO Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
2024-11-05 18:10:54 INFO NumExpr defaulting to 8 threads.
2024-11-05 18:11:16 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:17 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:18 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:19 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:20 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:21 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:22 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:23 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:24 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:25 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:26 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:27 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:28 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:29 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:30 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:31 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:31 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:31 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:32 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:33 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:34 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:35 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:36 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
